period,trip type,searchVolume
202310,Healing,1820
202308,Leports,1619
202305,Leports,1527
202401,Leports,1284
202305,Healing,1126
202310,Leports,1123
202309,Healing,1109
202304,Leports,1094
202308,Healing,1050
202312,Healing,1013
202306,Leports,1012
202403,Leports,1010
202311,Healing,932
202304,Healing,926
202306,Healing,919
202307,Leports,863
202311,Leports,834
202312,Leports,808
202307,Healing,737
202309,Leports,671
202402,Healing,662
202403,Healing,645
202401,Healing,625
202402,Leports,591
202304,Experience,582
202403,others,491
202305,Experience,430
202310,others,418
202310,Experience,325
202305,others,304
202306,others,301
202311,others,301
202402,others,287
202402,Experience,266
202308,Experience,264
202309,others,263
202312,others,262
202304,others,256
202307,others,254
202308,others,231
202306,others,223
202401,others,222
202403,Experience,195
202312,Experience,175
202309,Experience,154
202311,Experience,136
202401,Experience,106
202307,Experience,103
202402,Eating tasty food,65
202305,Eating tasty food,43
202306,Eating tasty food,41
202310,Eating tasty food,41
202312,Eating tasty food,36
202308,Eating tasty food,36
202307,Eating tasty food,34
202311,Eating tasty food,33
202309,Eating tasty food,28
202403,Eating tasty food,25
202401,Eating tasty food,24
202304,Eating tasty food,23
